product_name,photo_url,barcode,price_cents,sku (unique id),producer
Bread - Hot Dog Buns,http://dummyimage.com/126x193.bmp/cc0000/ffffff,47870,97392,50c19cf2-3bb4-4182-ace3-d1b371f14d7f,Wilkinson Group
"Oil - Truffle, White",http://dummyimage.com/245x234.png/5fa2dd/ffffff,9853,55356,54aebace-b055-4389-ad62-89e1c661a825,Mueller-Treutel
Momiji Oroshi Chili Sauce,http://dummyimage.com/239x232.bmp/cc0000/ffffff,27785,51437,70519b7b-e04f-4438-afb4-267a83c43a39,"Effertz, Dickinson and King"
"Coconut - Shredded, Unsweet",http://dummyimage.com/101x239.jpg/ff4444/ffffff,9700,81149,81350ee7-8f57-4c51-a6ec-baab5115f1f5,Bahringer-Kunde
"Vermacelli - Sprinkles, Assorted",http://dummyimage.com/216x161.jpg/cc0000/ffffff,71853,76872,bbc7e913-dc15-41c0-9400-76f8be28ebec,"Friesen, Heller and Schroeder"
Bread - 10 Grain Parisian,http://dummyimage.com/163x129.png/dddddd/000000,64642,50945,9ccc6887-5ee5-4598-ba21-9d8cd65071a3,Turner-Quigley
Turkey - Oven Roast Breast,http://dummyimage.com/205x128.bmp/ff4444/ffffff,88020,4531,f55d64e8-22fc-4c19-a0f6-75584a70ad13,"West, Klein and Waelchi"
Mortadella,http://dummyimage.com/231x211.bmp/ff4444/ffffff,64780,49825,65bc153c-f267-40ca-8994-5055f7124884,O'Connell Inc
Loquat,http://dummyimage.com/211x224.bmp/cc0000/ffffff,6822,55148,ac802438-092b-49e0-ad07-f42cd5c58fdf,Barrows Inc
Sprouts - Baby Pea Tendrils,http://dummyimage.com/134x153.bmp/dddddd/000000,1921,63938,c55a2281-a5a5-46a8-834b-e70d98f86b9e,"Tromp, Jones and Medhurst"
Propel Sport Drink,http://dummyimage.com/142x228.bmp/cc0000/ffffff,4870,55196,0d9abfec-4ba2-49a8-84cc-1eff734fd6f8,"Schultz, Grimes and Doyle"
"Wine - White, Cooking",http://dummyimage.com/248x166.jpg/cc0000/ffffff,2903,13436,60666094-4c00-4603-a6b1-c1a4deca64f4,Rath-Schmitt
Mace,http://dummyimage.com/228x170.jpg/5fa2dd/ffffff,67603,22225,f79c4041-d349-475d-9fe1-9bab100ed99b,"Harvey, Lemke and Tillman"
Banana - Leaves,http://dummyimage.com/198x107.jpg/5fa2dd/ffffff,V7619,90176,338309e4-3bcf-4002-844f-42202febca0b,Hane-Bashirian
Pork Ham Prager,http://dummyimage.com/170x161.png/ff4444/ffffff,6989,43281,27cdc649-ea07-45c6-a121-75e0256d944d,Vandervort-Johnston
Grand Marnier,http://dummyimage.com/189x172.bmp/dddddd/000000,V7650,10379,8f2531d1-62e7-4ae6-87ea-9172de94c343,Kuvalis-Simonis
Monkfish Fresh - Skin Off,http://dummyimage.com/180x133.png/5fa2dd/ffffff,52525,24622,537ea1a1-4e9f-451e-a0e0-47a9fe22a1b3,Gutmann-Hayes
Chips Potato Salt Vinegar 43g,http://dummyimage.com/167x245.jpg/ff4444/ffffff,80083,3408,66c74434-f669-4ee7-9883-d8c14d094a09,Fisher-Stamm
"Wine - Red, Mosaic Zweigelt",http://dummyimage.com/162x230.bmp/dddddd/000000,9066,70671,fe50235c-5039-4ca9-9d2a-78ae7daddfe2,Strosin-Anderson
"Pork - Bacon, Sliced",http://dummyimage.com/146x111.bmp/ff4444/ffffff,01013,87733,2e8e0463-3e3b-4fea-8f20-164299d3d0c1,Krajcik Inc
Trueblue - Blueberry Cranberry,http://dummyimage.com/236x159.png/dddddd/000000,64753,56722,264711e0-c40b-4412-adf1-7c4fe6f2fef0,Hammes Group
"Pork - Tenderloin, Fresh",,8460,48744,4ce1c042-ff6b-4268-b41e-3e5101fe1880,
Oil - Pumpkinseed,http://dummyimage.com/150x229.jpg/ff4444/ffffff,0200,94800,350df34f-ca5c-4c4d-9f84-0a8162498d44,"Abshire, Gibson and Osinski"
Pastry - Banana Tea Loaf,http://dummyimage.com/177x201.jpg/ff4444/ffffff,V5871,27652,6dae638a-f3a3-4801-a63e-4ff9e28a5568,"Jast, Nicolas and Johns"
"Nut - Hazelnut, Whole",,81351,70400,0389eb36-062a-42c5-8cc7-e4387e066d4d,
Crush - Cream Soda,http://dummyimage.com/215x228.bmp/dddddd/000000,E8153,4684,94c301f0-ee6c-4cdc-8ca2-d692f3d094b5,Gerlach-White
"Crush - Grape, 355 Ml",,V5867,34342,1fb01f71-0c16-4336-9ff7-a4ab99d6eec1,
Drambuie,http://dummyimage.com/152x149.jpg/dddddd/000000,37958,13738,982a49e7-e583-4663-bb51-5061e39f2aa8,"McLaughlin, Goldner and Robel"
Bouillion - Fish,http://dummyimage.com/121x223.bmp/ff4444/ffffff,40211,30232,f45c01f1-aeaf-420c-b283-2b1904e5ee7d,Hermann Inc
Beef - Short Ribs,http://dummyimage.com/125x155.png/5fa2dd/ffffff,37000,64555,8ffff0c5-8471-49e0-a219-926e556eda87,Brown-Runolfsdottir
Table Cloth 90x90 Colour,http://dummyimage.com/179x250.jpg/ff4444/ffffff,V5973,71330,748c92de-c66f-42eb-ba7a-42c648970e3c,Fritsch-Terry
"Pasta - Detalini, White, Fresh",http://dummyimage.com/113x163.png/dddddd/000000,23874,62879,1799e56f-0bb2-4116-96d4-78e0c195656f,Durgan-Paucek
Pumpkin - Seed,http://dummyimage.com/136x205.png/5fa2dd/ffffff,9580,98416,76241531-6e44-4733-8573-8b7d663bce8e,DuBuque-Kozey
Salt And Pepper Mix - White,http://dummyimage.com/248x102.jpg/5fa2dd/ffffff,61805,37825,c3b1575b-3a42-44d3-86a8-873c68a45d11,"Rodriguez, Altenwerth and Greenfelder"
Pastry - Raisin Muffin - Mini,,99962,65528,2c03ea91-4e3f-4ac5-9e90-4bcf034e38da,
"Juice - Orange, 341 Ml",http://dummyimage.com/161x181.jpg/5fa2dd/ffffff,90089,8071,b89d2af2-9223-45ee-9c23-427d5700f98a,Wisoky-Luettgen
Oil - Coconut,http://dummyimage.com/119x187.bmp/5fa2dd/ffffff,7262,46977,681b87df-8cd5-4bfa-b4fe-93fe1ad30304,Ondricka-Heaney
Bread - Raisin Walnut Oval,http://dummyimage.com/135x223.bmp/ff4444/ffffff,01885,90517,e58a8929-9a2c-4d0e-8a92-49c122379680,"Huels, O'Connell and Johnston"
Salmon Atl.whole 8 - 10 Lb,http://dummyimage.com/206x109.png/5fa2dd/ffffff,94401,2555,7cee2ab2-4f0e-44cd-aa61-5788fe9ddb7e,"Hagenes, Murray and Haag"
Pate - Peppercorn,,09816,71737,32a504d4-0236-4fb4-99a1-f9dd2ef76ee6,
Island Oasis - Wildberry,http://dummyimage.com/157x100.jpg/dddddd/000000,73083,54062,d4cd3ccf-29c0-42d8-b81a-d829b0b7957e,Brekke LLC
"Lemonade - Mandarin, 591 Ml",http://dummyimage.com/133x155.bmp/cc0000/ffffff,52300,35352,5f22f32d-b763-4a7a-81aa-3dc75a918f84,"Mante, DuBuque and Yost"
Wine - Fume Blanc Fetzer,http://dummyimage.com/156x188.png/dddddd/000000,65893,90681,8ff96ae1-30d5-4358-b82e-8a2f45384fe6,Corkery Inc
Bacardi Raspberry,http://dummyimage.com/212x186.png/cc0000/ffffff,94148,62031,51fbd5b5-e4a7-42a4-b1b5-c2ca3b532120,Maggio LLC
"Beef - Bones, Marrow",http://dummyimage.com/153x129.jpg/5fa2dd/ffffff,1912,29785,e96669ea-e0b0-4d0f-a3da-224a1f1b817d,Klein and Sons
Tomato - Peeled Italian Canned,http://dummyimage.com/179x132.jpg/cc0000/ffffff,20290,18432,a78fce3c-6e12-41cf-adb4-ef5ad4d2f4db,"Hirthe, Hirthe and Monahan"
"Pepper - Black, Ground",,193,86438,7ca14b6d-b7bb-4085-85f4-26d6d9b653fc,
Potatoes - Parissienne,http://dummyimage.com/192x209.png/5fa2dd/ffffff,7873,29870,e75c10be-af78-4e5f-8065-cf9a4a7b67f5,Stehr-Jacobson
Ecolab Silver Fusion,http://dummyimage.com/158x203.bmp/5fa2dd/ffffff,80451,37218,414586b8-ce6b-4ccf-bbcd-b49c2ddca735,Bins Group
Mushrooms - Honey,http://dummyimage.com/200x237.png/cc0000/ffffff,E9425,14146,ea1d982b-5c17-4b28-a50c-f57c102b6d15,Mann and Sons
Bread - Petit Baguette,http://dummyimage.com/153x178.bmp/ff4444/ffffff,65653,49492,2d5efd26-1fc4-4f30-8fb0-0874159123b4,Yundt Inc
Potatoes - Mini Red,http://dummyimage.com/159x213.jpg/5fa2dd/ffffff,52437,43322,1cc7e9fb-a12f-4514-b728-a496d71de3e6,Jenkins LLC
Beef - Salted,http://dummyimage.com/207x124.bmp/dddddd/000000,04183,43145,6bf288de-c9df-4d76-95d4-ec3f630350b1,Kreiger-Pacocha
Curry Paste - Green Masala,http://dummyimage.com/116x177.png/ff4444/ffffff,63581,89448,c5f69d6f-b7b2-4483-ad75-a220699d7bba,"Mitchell, Kshlerin and Bode"
Island Oasis - Wildberry,http://dummyimage.com/140x138.png/dddddd/000000,2930,91771,8b8dfc92-85e4-4e55-ae63-663861887bb2,"Klocko, Veum and Rodriguez"
Oil - Macadamia,http://dummyimage.com/158x208.bmp/cc0000/ffffff,81405,69822,97e7b148-0107-41ac-95cf-61ac55f35cf8,"Heller, Bednar and Rempel"
Chef Hat 25cm,http://dummyimage.com/250x249.jpg/5fa2dd/ffffff,E9968,12535,0ff03d92-ba2d-4788-843c-9444c9536351,"Robel, Renner and Bartoletti"
Wine - Chateau Aqueria Tavel,,3212,94402,9bd50169-db97-4829-b2c3-ef4e3bdf889a,
Onions - Spanish,,E8432,41750,f7c41067-412c-469d-aee0-7d8f92fb51b7,
Carbonated Water - Blackcherry,http://dummyimage.com/169x177.bmp/ff4444/ffffff,44029,68708,dbe6c02f-f8c4-4f6e-bacc-18eec13012dc,"Grimes, Thompson and VonRueden"
"Garlic - Primerba, Paste",,82390,4246,500e07a3-c9d2-447b-974a-2c2c5b4fd0da,
Pants Custom Dry Clean,http://dummyimage.com/174x100.bmp/5fa2dd/ffffff,42518,7602,b1d34a09-c2a5-43a1-8a2b-709996ff72da,Johnston-Abbott
Chicken Thigh - Bone Out,http://dummyimage.com/160x231.bmp/5fa2dd/ffffff,99688,91538,d56faeaa-bf36-49ea-a394-86ef51f9b800,"Predovic, Hudson and Morar"
Longos - Chicken Wings,,79401,90208,c09fc936-6e65-4150-acc8-54b8f96f516d,
Tea - Herbal I Love Lemon,,38332,55002,67ef16bf-453c-48b2-9331-05736cf0a64a,
"Spoon - Soup, Plastic",http://dummyimage.com/134x242.bmp/cc0000/ffffff,69011,34032,3e4b5899-0c2b-445e-ba3e-c778391e1fd0,Swift-D'Amore
Bread - English Muffin,http://dummyimage.com/132x226.png/5fa2dd/ffffff,83511,65596,b2ec950b-4ae2-48fa-8aac-278f28482366,Corwin-Boehm
Wine - Lou Black Shiraz,http://dummyimage.com/112x206.bmp/cc0000/ffffff,28310,40950,fd701564-ebef-4768-8e41-1ccc86430826,Conroy-Raynor
Brandy Apricot,http://dummyimage.com/111x198.jpg/5fa2dd/ffffff,92309,91101,3f8798ba-2570-4ea3-aa04-f1b253481fb2,Wolff-Raynor
Beef Tenderloin Aaa,http://dummyimage.com/152x125.bmp/5fa2dd/ffffff,62923,34581,ab43ad09-dff7-4c17-8018-8637c2ddc1ab,"Maggio, Pfannerstill and Feeney"
Chocolate - Feathers,http://dummyimage.com/189x206.jpg/5fa2dd/ffffff,9751,7963,4648a782-69ce-4b9b-b109-ecf80906b74b,Abbott LLC
Vaccum Bag - 14x20,http://dummyimage.com/175x113.bmp/ff4444/ffffff,V5863,93767,ed64a78d-6458-44d2-aeab-c990becf5cdf,Rippin-Stanton
Chutney Sauce,http://dummyimage.com/134x169.jpg/ff4444/ffffff,9601,80289,35f45ce2-cac0-4a97-80f1-744598cbeb00,Botsford-Maggio
Kirsch - Schloss,http://dummyimage.com/153x228.png/dddddd/000000,67583,6071,ba7bbf24-f2e1-4272-b4e2-15e5d60ff352,Schiller-Armstrong
"Bread - Dark Rye, Loaf",http://dummyimage.com/144x207.bmp/5fa2dd/ffffff,V299,52474,f517c453-cc1b-4a88-a973-db24d00abb3d,Dare-O'Connell
"Vodka - Hot, Lnferno",http://dummyimage.com/179x152.bmp/cc0000/ffffff,29650,71260,c7afa1fb-0541-4c84-bc45-010bdd9dc969,"Treutel, Russel and Torphy"
"Oil - Shortening,liqud, Fry",http://dummyimage.com/130x240.jpg/dddddd/000000,E8661,50518,88fc06ff-4e57-46ae-9d31-e1c13d74e017,Smith and Sons
Marjoram - Fresh,http://dummyimage.com/230x118.jpg/cc0000/ffffff,7402,58798,1351a2c5-7dff-47f1-9f11-b7b65693a6e7,Anderson Group
